"31-12-2023";"31-12-2023";"Rente af indestående";"1.452,69";"579.054,77"
"29-12-2023";"29-12-2023";"Gebyr";"-850,00";"577.602,08"
"29-12-2023";"29-12-2023";"MobilePay køb MobilePay YouSee";"-807,00";"578.452,08"
"28-12-2023";"28-12-2023";""Elgiganten.dk, Koebenhavn S "";"-969,00";"579.259,08"
"27-12-2023";"27-12-2023";"MobilePay køb MobilePay Defence Ukraine Danmark";"-1.000,00";"580.228,08"
"21-12-2023";"21-12-2023";"Netto Dildhaven Nota C415728";"-45,00";"581.228,08"
"18-12-2023";"18-12-2023";"MobilePay køb MobilePay 5081SJ";"-500,00";"581.273,08"
"11-12-2023";"11-12-2023";"AFREGNING TIL TOLD & SKAT";"-39.299,00";"581.773,08"
"07-12-2023";"07-12-2023";"politiken.dk Nota CP-07114213";"-299,00";"621.072,08"
"05-12-2023";"05-12-2023";""FRANTECH/B* FRANTECH 8, HTTPSMY.FRA, USD 15,00 Kurs 695,53 "";"-104,33";"621.371,08"
"01-12-2023";"01-12-2023";"OVERFØRSEL";"-27,50";"621.475,41"
"01-12-2023";"01-12-2023";"MobilePay køb MobilePay Amnesty International Dan";"-145,00";"621.502,91"
"30-11-2023";"30-11-2023";"løn okt-nov";"-64.252,85";"621.647,91"
"22-11-2023";"22-11-2023";""Elgiganten.dk, Koebenhavn S "";"-333,00";"685.900,76"
"22-11-2023";"22-11-2023";"Ann. postering fra  20-11-2023";"333,00";"686.233,76"
"22-11-2023";"22-11-2023";"REMA 1000 Greve Nota C639609";"-73,80";"685.900,76"
"20-11-2023";"20-11-2023";"Elgiganten.dk, Koebenhavn S";"-333,00";"685.974,56"
"20-11-2023";"20-11-2023";"LIDL Nota Z105913";"-107,75";"686.307,56"
"15-11-2023";"15-11-2023";"Netto Dildhaven Nota C039544";"-81,70";"686.415,31"
"15-11-2023";"15-11-2023";"Faktura 202309";"77.290,00";"686.497,01"
"14-11-2023";"14-11-2023";"OVERFØRSEL";"-27,50";"609.207,01"
"07-11-2023";"07-11-2023";"ATP LIVSLANG PENSION Aftalenr. 903811345";"-852,03";"609.234,51"
"07-11-2023";"07-11-2023";"politiken.dk Nota CP-06961945";"-299,00";"610.086,54"
"06-11-2023";"06-11-2023";"REMA 1000 Greve Nota C119759";"-81,90";"610.385,54"
"03-11-2023";"03-11-2023";"LIDL Nota Z094014";"-135,80";"610.467,44"
"03-11-2023";"03-11-2023";""FRANTECH/B* FRANTECH 8, HTTPSMY.FRA, USD 15,00 Kurs 717,66 "";"-107,65";"610.603,24"
"01-11-2023";"01-11-2023";"Netto Dildhaven Nota C729659";"-132,65";"610.710,89"
"01-11-2023";"01-11-2023";"MobilePay køb MobilePay Amnesty International Dan";"-145,00";"610.843,54"
