2023-11-22;Ann. postering fra  20-11-2023;ELG
2023-09-06;Advis 12230906025557;PrivatHaevning
2023-02-28;SKATTEKONTOEN;SkyldigMoms
2023-07-06;SKATTEKONTOEN;UdbytteSkat
